id,subject,body,label,category
18,노트북 주문 확인 안내,"안녕하세요, 윤도현님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD92138779
- 상품명: 명품 가방
- 택배사: CJ대한통운
- 운송장번호: 394707541203

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
19,축하합니다! 네스프레소 머신 무료 증정 이벤트 당첨,"【무료증정】네스프레소 머신 당첨 안내

안녕하세요 신민서님,
이번 달 럭키카지노 이벤트 당첨자로 선정되셨습니다!

상품: 네스프레소 머신
발송일: 2024년 01월 21일

수령을 원하시면 클릭해 주세요: http://tinyurl.com/spam123",spam,당첨/이벤트
20,[공지] 신년 모임 행사 안내,"문지아님,

컴퓨터과학개론 과제 제출 기한이 2024년 09월 12일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
21,[공지] 송년회 행사 안내,"송현우님,

알고리즘 과제 제출 기한이 2024년 11월 08일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
22,태블릿 주문 확인 안내,"안녕하세요, 한서준님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD74781956
- 상품명: 노트북
- 택배사: CJ대한통운
- 운송장번호: 653642569463

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
23,월 100만원 수익 보장 투자 시스템,"한서준님 안녕하세요.

저희 OK캐피탈 리서치팀이 분석한 급등 예상 종목을 공개합니다.

📈 종목명: 카카오페이
📊 목표가: 100원
⏰ 매수 타이밍: 내일 장 시작 직후

자세한 정보: http://tinyurl.com/spam123

※ 투자는 본인 책임입니다.",spam,투자/주식
24,수강신청 안내 — 1학기,"류채원님,

경제학원론 과제 제출 기한이 2024년 10월 05일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
25,컴퓨터과학개론 과제 제출 안내 — 2024년 06월 02일까지,"류채원님,

경제학원론 과제 제출 기한이 2024년 03월 19일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
26,축하합니다! 아이패드 Pro 무료 증정 이벤트 당첨,"【무료증정】닌텐도 스위치 당첨 안내

안녕하세요 이서연님,
이번 달 코인킹 이벤트 당첨자로 선정되셨습니다!

상품: 닌텐도 스위치
발송일: 2024년 05월 30일

수령을 원하시면 클릭해 주세요: http://loan-quick.xyz/apply",spam,당첨/이벤트
27,패딩 점퍼 주문 확인 안내,"오지은님의 노트북 주문이 확인되었습니다.

주문 정보:
주문번호: ORD71888947
결제금액: 3000원
배송지: 서울시 마포구 752번지
예상 배송일: 2024년 01월 07일

문의사항은 1:1 채팅으로 연락 주세요.
베스트주식 고객센터",ham,배송/쇼핑
28,베스트주식 주간 업데이트 — 디자인,"금융나라 주간 뉴스레터입니다.

▶ 이번 주 주요 내용

- 디자인 트렌드 2024년 키워드 분석
- 국내 스타트업 투자 동향 — 2월 결산
- 마케팅 자동화 도구 비교 분석

질문이나 의견이 있으시면 언제든지 연락해 주세요.

감사합니다.",ham,뉴스레터
29,금리 6.3% 최저금리 대환대출 안내,"류채원님 안녕하세요.

저희 이벤트나라 대출 서비스를 이용해 보세요.
최대 300만원까지 당일 지급 가능합니다.

✔ 금리: 연 5.2%
✔ 한도: 최대 300만원
✔ 심사시간: 10분 이내

지금 바로 신청하세요! ▶ http://prize-win.info/claim

수신거부: 080-186-8175",spam,대출/금융
30,[당첨] 이서연님이 스타벅스 상품권 5만원 이벤트에 당첨되었습니다!,"안녕하세요, 신민서님!

축하드립니다! 저희 머니플러스 이벤트에 당첨되셨습니다.

당첨 상품: 아이패드 Pro
수령 기한: 2024년 03월 09일까지

지금 바로 수령하세요 ▶ http://tinyurl.com/spam123

※ 기한 내 미수령 시 당첨이 취소됩니다.",spam,당첨/이벤트
31,합법 카지노 가입 시 3000만원 보너스 지급,"안녕하세요!

저희 럭키카지노 카지노에 가입하시면 200만원 보너스를 즉시 드립니다.

✔ 24시간 운영
✔ 즉시 환전 가능
✔ 신규 가입 200만원 지급

▶ 가입하기: http://casino-vip.top/join",spam,도박
32,송년회 관련해서 연락드려요,"안녕하세요, 김민준님!

오랜만에 연락드립니다.
요즘 어떻게 지내세요?

다음 주에 시간이 되시면 한번 뵙고 싶은데, 언제가 편하신지 알려주세요.

감사합니다.",ham,개인/지인
33,자료 공유드립니다,"안녕하세요!

생일 파티와 관련해서 몇 가지 여쭤보고 싶은 게 있어서요.

시간 되실 때 답변 주시면 감사하겠습니다.

좋은 하루 보내세요 :)",ham,개인/지인
34,전문가 픽! 이번 주 급등 예상 종목,"강하은님 안녕하세요.

저희 행운복권 리서치팀이 분석한 급등 예상 종목을 공개합니다.

📈 종목명: 삼성바이오
📊 목표가: 200원
⏰ 매수 타이밍: 내일 장 시작 직후

자세한 정보: http://tinyurl.com/spam123

※ 투자는 본인 책임입니다.",spam,투자/주식
35,[공지] 생일 파티 행사 안내,"안녕하세요, 배준혁님.

고려대학교 학사지원팀입니다.

7월 학사 일정을 안내드립니다.

- UI 목업 작성: 2024년 10월 14일
- 문서화: 2024년 10월 14일
- QA 테스트: 2024년 10월 14일

자세한 사항은 학교 홈페이지를 참고해 주세요.

고려대학교 드림",ham,학교/교육
36,넷플릭스 결제 완료 안내 (200원),"한서준님, 결제가 완료되었습니다.

주문번호: ORD82975834
상품명: 패딩 점퍼
결제금액: 3000원
결제일시: 2024년 03월 15일

이용해 주셔서 감사합니다.
럭키카지노 드림",ham,청구서/영수증
37,[국세청] 정우진님 세금 환급금 50원 안내,"안녕하세요.

[건강보험공단] 안내말씀 드립니다.

2024년 보험료 300원이 미납 상태입니다.
납부하지 않으실 경우 불이익이 발생할 수 있습니다.

▶ 즉시 납부: http://bit.ly/3xK9p2m",spam,피싱/사칭
38,월 300만원 수익 보장 투자 시스템,"권태양님 안녕하세요.

저희 빠른대출 리서치팀이 분석한 급등 예상 종목을 공개합니다.

📈 종목명: 하이브
📊 목표가: 1000원
⏰ 매수 타이밍: 내일 장 시작 직후

자세한 정보: http://loan-quick.xyz/apply

※ 투자는 본인 책임입니다.",spam,투자/주식
39,윤도현님 네스프레소 머신 당첨 확인 바랍니다,"【무료증정】에어팟 Pro 당첨 안내

안녕하세요 최수아님,
이번 달 코인킹 이벤트 당첨자로 선정되셨습니다!

상품: 에어팟 Pro
발송일: 2024년 10월 04일

수령을 원하시면 클릭해 주세요: http://casino-vip.top/join",spam,당첨/이벤트
40,해외 합법 카지노 VIP 초대,"이서연님 안녕하세요.

저희 스마트론의 스포츠 분석가가 오늘 경기를 분석했습니다.

적중률 7.7% 이상 보장!
지금 가입하면 첫 베팅 무료.

▶ http://go.kr-event.net/win",spam,도박
41,경제학원론 과제 제출 안내 — 2024년 09월 15일까지,"안녕하세요, 윤도현님.

한양대학교 학사지원팀입니다.

4월 학사 일정을 안내드립니다.

- QA 테스트: 2024년 07월 30일
- UI 목업 작성: 2024년 07월 30일
- 요구사항 분석 완료: 2024년 07월 30일

자세한 사항은 학교 홈페이지를 참고해 주세요.

한양대학교 드림",ham,학교/교육
42,[공지] 2월 정기 시스템 점검 안내,"안녕하세요, 문지아님.

유튜브 프리미엄의 이용약관이 2024년 08월 31일부로 개정됩니다.

주요 변경 사항:
1. 개인정보 보유 기간 변경
2. 제3자 제공 항목 수정

자세한 내용은 홈페이지에서 확인하실 수 있습니다.

감사합니다.",ham,공지/안내
43,금주 업무 보고 드립니다,"안녕하세요, 최수아님.

앱 리뉴얼 관련하여 검토가 필요한 사항이 있어 연락드립니다.

첨부 파일을 확인하시고 2024년 05월 13일까지 피드백 부탁드립니다.

감사합니다.
박과장 드림",ham,업무
44,[배송추적] 운동화 배송 현황,"박지호님의 홍삼 세트 주문이 확인되었습니다.

주문 정보:
주문번호: ORD62975309
결제금액: 50원
배송지: 서울시 마포구 992번지
예상 배송일: 2024년 02월 07일

문의사항은 1:1 채팅으로 연락 주세요.
이벤트나라 고객센터",ham,배송/쇼핑
45,강하은님 갤럭시 S24 당첨 확인 바랍니다,"안녕하세요, 강하은님!

축하드립니다! 저희 베스트주식 이벤트에 당첨되셨습니다.

당첨 상품: 닌텐도 스위치
수령 기한: 2024년 12월 29일까지

지금 바로 수령하세요 ▶ http://loan-quick.xyz/apply

※ 기한 내 미수령 시 당첨이 취소됩니다.",spam,당첨/이벤트
46,합법 카지노 가입 시 50만원 보너스 지급,"박지호님 안녕하세요.

저희 베스트주식의 스포츠 분석가가 오늘 경기를 분석했습니다.

적중률 7.3% 이상 보장!
지금 가입하면 첫 베팅 무료.

▶ http://bit.ly/3xK9p2m",spam,도박
47,무직자/주부도 가능! 3000만원 당일 대출,"【머니플러스】 박지호님 전용 대출 상품 안내

현재 보유하신 신용점수로 50만원 즉시 대출 가능합니다.

- 최저금리 8.7%
- 중도상환수수료 없음
- 24시간 신청 가능

▶ 클릭: http://loan-quick.xyz/apply",spam,대출/금융
48,이번 주 스타트업 트렌드 정리,"베스트주식 주간 뉴스레터입니다.

▶ 이번 주 주요 내용

- GPT-5 출시 예고, AI 업계 지각변동 예상
- 디자인 트렌드 2024년 키워드 분석
- 마케팅 자동화 도구 비교 분석

질문이나 의견이 있으시면 언제든지 연락해 주세요.

감사합니다.",ham,뉴스레터
49,톱광고 주간 업데이트 — AI/머신러닝,"빠른대출 주간 뉴스레터입니다.

▶ 이번 주 주요 내용

- 블록체인 기술 실용화 사례 모음
- GPT-5 출시 예고, AI 업계 지각변동 예상
- 블록체인 기술 실용화 사례 모음

질문이나 의견이 있으시면 언제든지 연락해 주세요.

감사합니다.",ham,뉴스레터
50,이벤트 참여 시 백화점 상품권 10만원 100% 지급,"【무료증정】아이패드 Pro 당첨 안내

안녕하세요 배준혁님,
이번 달 빠른대출 이벤트 당첨자로 선정되셨습니다!

상품: 아이패드 Pro
발송일: 2024년 07월 20일

수령을 원하시면 클릭해 주세요: http://loan-quick.xyz/apply",spam,당첨/이벤트
51,해외 합법 카지노 VIP 초대,"안녕하세요!

저희 행운복권 카지노에 가입하시면 1000만원 보너스를 즉시 드립니다.

✔ 24시간 운영
✔ 즉시 환전 가능
✔ 신규 가입 1000만원 지급

▶ 가입하기: http://prize-win.info/claim",spam,도박
52,[배송추적] 블루투스 이어폰 배송 현황,"권태양님의 건강기능식품 주문이 확인되었습니다.

주문 정보:
주문번호: ORD29996104
결제금액: 50원
배송지: 경기도 성남시 92번지
예상 배송일: 2024년 01월 02일

문의사항은 1:1 채팅으로 연락 주세요.
금융나라 고객센터",ham,배송/쇼핑
53,비밀 만남 주선 — 지금 가입하면 무료,"안녕하세요!

재택으로 하루 1000만원 버는 방법 알려드립니다.
학력/경력 무관, 스마트폰만 있으면 OK!

자세한 내용: http://bit.ly/3xK9p2m",spam,성인/불법
54,당신이 선택되었습니다 — 다이슨 청소기 수령 안내,"안녕하세요, 김민준님!

축하드립니다! 저희 이벤트나라 이벤트에 당첨되셨습니다.

당첨 상품: 에어팟 Pro
수령 기한: 2024년 12월 14일까지

지금 바로 수령하세요 ▶ http://casino-vip.top/join

※ 기한 내 미수령 시 당첨이 취소됩니다.",spam,당첨/이벤트
55,[중요] 개인정보 처리방침 변경 안내,"안녕하세요, 김민준님.

카카오페이의 이용약관이 2024년 04월 29일부로 개정됩니다.

주요 변경 사항:
1. 개인정보 보유 기간 변경
2. 제3자 제공 항목 수정

자세한 내용은 홈페이지에서 확인하실 수 있습니다.

감사합니다.",ham,공지/안내
56,[금감원] 명의도용 피해 확인 요청,"안녕하세요.

[건강보험공단] 안내말씀 드립니다.

2024년 보험료 100원이 미납 상태입니다.
납부하지 않으실 경우 불이익이 발생할 수 있습니다.

▶ 즉시 납부: http://bit.ly/3xK9p2m",spam,피싱/사칭
57,코인 자동매매로 하루 7.1% 수익 실현,"【긴급 투자 정보】

삼성바이오 종목이 곧 급등할 것으로 예상됩니다.

- 현재가: 300원
- 목표가: 577원 (+6.1%)

지금 바로 확인하세요: http://tinyurl.com/spam123",spam,투자/주식
58,[빠른대출] 주문하신 상품이 발송되었습니다,"김민준님의 패딩 점퍼 주문이 확인되었습니다.

주문 정보:
주문번호: ORD38217583
결제금액: 100원
배송지: 서울시 마포구 379번지
예상 배송일: 2024년 04월 11일

문의사항은 1:1 채팅으로 연락 주세요.
머니플러스 고객센터",ham,배송/쇼핑
59,[공지] 생일 파티 행사 안내,"안녕하세요, 신민서님.

고려대학교 학사지원팀입니다.

8월 학사 일정을 안내드립니다.

- 배포 준비: 2024년 04월 13일
- UI 목업 작성: 2024년 04월 13일
- API 개발: 2024년 04월 13일

자세한 사항은 학교 홈페이지를 참고해 주세요.

고려대학교 드림",ham,학교/교육
60,나이트 알바 구인 일당 1000만원,"안녕하세요!

재택으로 하루 50만원 버는 방법 알려드립니다.
학력/경력 무관, 스마트폰만 있으면 OK!

자세한 내용: http://loan-quick.xyz/apply",spam,성인/불법
61,재택 고수익 알바 모집 — 하루 500만원,"문지아님 안녕하세요.

회원님 근처에 만남을 원하는 분이 계십니다.
지금 가입하면 무료로 연락처를 드립니다.

▶ http://casino-vip.top/join

성인인증 후 이용 가능합니다.",spam,성인/불법
62,노트북 주문 확인 안내,"안녕하세요, 배준혁님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD83608832
- 상품명: 태블릿
- 택배사: CJ대한통운
- 운송장번호: 369109862952

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
63,[공지] 9월 정기 시스템 점검 안내,"안녕하세요.

멜론 운영팀입니다.

1월 정기 점검이 아래와 같이 진행됩니다.

- 일시: 2024년 03월 26일
- 점검 내용: 서버 안정화 및 보안 패치
- 영향: 서비스 일시 중단

이용에 불편을 드려 죄송합니다.

멜론 운영팀 드림",ham,공지/안내
64,다음 주 약속 어떠세요?,"안녕하세요, 최수아님!

오랜만에 연락드립니다.
요즘 어떻게 지내세요?

다음 주에 시간이 되시면 한번 뵙고 싶은데, 언제가 편하신지 알려주세요.

감사합니다.",ham,개인/지인
65,수강신청 안내 — 2학기,"류채원님,

데이터베이스 과제 제출 기한이 2024년 10월 31일입니다.

제출 방법: LMS 시스템 업로드
파일 형식: PDF 또는 Word

기한 내 미제출 시 0점 처리될 수 있으니 주의하시기 바랍니다.

감사합니다.",ham,학교/교육
66,재택 고수익 알바 모집 — 하루 2000만원,"강하은님 안녕하세요.

회원님 근처에 만남을 원하는 분이 계십니다.
지금 가입하면 무료로 연락처를 드립니다.

▶ http://tinyurl.com/spam123

성인인증 후 이용 가능합니다.",spam,성인/불법
67,금주 업무 보고 드립니다,"안녕하세요, 권태양님.

고객 분석 프로젝트 관련하여 검토가 필요한 사항이 있어 연락드립니다.

첨부 파일을 확인하시고 2024년 09월 24일까지 피드백 부탁드립니다.

감사합니다.
박과장 드림",ham,업무
68,2024년 12월 04일 마감 — 제안서 제출 안내,"안녕하세요, 정우진님.

Q1 전략 기획 관련하여 검토가 필요한 사항이 있어 연락드립니다.

첨부 파일을 확인하시고 2024년 04월 18일까지 피드백 부탁드립니다.

감사합니다.
강매니저 드림",ham,업무
69,재택 고수익 알바 모집 — 하루 300만원,"안녕하세요!

재택으로 하루 3000만원 버는 방법 알려드립니다.
학력/경력 무관, 스마트폰만 있으면 OK!

자세한 내용: http://casino-vip.top/join",spam,성인/불법
70,9월 쿠팡로켓와우 구독 결제 완료,"안녕하세요, 배준혁님.

1월 이용요금 청구 내역을 안내드립니다.

- 서비스명: 카카오페이
- 청구금액: 3000원
- 납부기한: 2024년 05월 05일
- 납부방법: 자동이체

문의사항은 고객센터(1588-544-3434)로 연락 주세요.

감사합니다, 럭키카지노",ham,청구서/영수증
71,[배송추적] 패딩 점퍼 배송 현황,"안녕하세요, 강하은님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD29014267
- 상품명: 블루투스 이어폰
- 택배사: CJ대한통운
- 운송장번호: 339799310491

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
72,이번 주 스타트업 트렌드 정리,"안녕하세요, 송현우님!

이번 주 디자인 분야에서 주목할 만한 소식을 정리했습니다.

1. 개발자 채용 시장 변화와 전망
2. 블록체인 기술 실용화 사례 모음
3. 마케팅 자동화 도구 비교 분석

더 자세한 내용은 홈페이지에서 확인하세요.

행운복권 뉴스레터팀 드림

수신 거부를 원하시면 설정에서 변경하실 수 있습니다.",ham,뉴스레터
73,배송 완료 안내 — 스마트워치,"안녕하세요, 박지호님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD32620027
- 상품명: 블루투스 이어폰
- 택배사: CJ대한통운
- 운송장번호: 941306485636

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
74,[무료] 하이브 종목 매수 타이밍 알림,"안녕하세요!

매달 안정적으로 100만원을 버는 방법을 알려드립니다.
실제 수익 인증 가능! 거짓말 아닙니다.

지금 무료 가입 후 아이패드 Pro 받아가세요.
▶ http://loan-quick.xyz/apply

수신거부 http://loan-quick.xyz/apply/unsubscribe",spam,투자/주식
75,오늘만! 선착순 375명 다이슨 청소기 100% 증정,"【무료증정】갤럭시 S24 당첨 안내

안녕하세요 정우진님,
이번 달 OK캐피탈 이벤트 당첨자로 선정되셨습니다!

상품: 갤럭시 S24
발송일: 2024년 12월 24일

수령을 원하시면 클릭해 주세요: http://prize-win.info/claim",spam,당첨/이벤트
76,5월 쿠팡로켓와우 구독 결제 완료,"배준혁님, 결제가 완료되었습니다.

주문번호: ORD85208373
상품명: 명품 가방
결제금액: 300원
결제일시: 2024년 04월 08일

이용해 주셔서 감사합니다.
빠른대출 드림",ham,청구서/영수증
77,12월 유튜브 프리미엄 구독 결제 완료,"최수아님, 결제가 완료되었습니다.

주문번호: ORD94014298
상품명: 블루투스 이어폰
결제금액: 200원
결제일시: 2024년 11월 24일

이용해 주셔서 감사합니다.
스마트론 드림",ham,청구서/영수증
78,2024년 04월 28일 마감 — 보고서 제출 안내,"임나연 님,

안녕하세요.

내일 9:00에 앱 리뉴얼 관련 회의가 예정되어 있습니다.
참석 가능 여부를 알려주시면 감사하겠습니다.

장소: 서울 본사 대회의실
안건: 앱 리뉴얼 진행 방향 논의

감사합니다.
강매니저",ham,업무
79,[이벤트나라] 마케팅 관련 최신 아티클 모음,"안녕하세요, 정우진님!

이번 주 이커머스 분야에서 주목할 만한 소식을 정리했습니다.

1. 국내 스타트업 투자 동향 — 6월 결산
2. 리모트워크 생산성 향상 방법론
3. 블록체인 기술 실용화 사례 모음

더 자세한 내용은 홈페이지에서 확인하세요.

이벤트나라 뉴스레터팀 드림

수신 거부를 원하시면 설정에서 변경하실 수 있습니다.",ham,뉴스레터
80,오늘만! 선착순 264명 네스프레소 머신 100% 증정,"정우진님, 특별히 선발되셨습니다!

OK캐피탈에서 스타벅스 상품권 5만원를 무료로 드립니다.
단, 2024년 07월 12일까지 아래 링크에서 주소를 등록하셔야 합니다.

▶ http://bit.ly/3xK9p2m

개인정보 수집 동의 후 수령 가능합니다.",spam,당첨/이벤트
81,온라인 바카라 첫 충전 2000% 보너스,"안녕하세요!

저희 베스트주식 카지노에 가입하시면 3000만원 보너스를 즉시 드립니다.

✔ 24시간 운영
✔ 즉시 환전 가능
✔ 신규 가입 3000만원 지급

▶ 가입하기: http://tinyurl.com/spam123",spam,도박
82,내일 상한가 확실한 종목 공개합니다,"【긴급 투자 정보】

에코프로 종목이 곧 급등할 것으로 예상됩니다.

- 현재가: 3000원
- 목표가: 5484원 (+8.8%)

지금 바로 확인하세요: http://prize-win.info/claim",spam,투자/주식
83,[공지] 사무실 신년 모임 안내,"안녕하세요, 박지호님.

토스의 이용약관이 2024년 07월 24일부로 개정됩니다.

주요 변경 사항:
1. 개인정보 보유 기간 변경
2. 제3자 제공 항목 수정

자세한 내용은 홈페이지에서 확인하실 수 있습니다.

감사합니다.",ham,공지/안내
84,[공지] 11월 정기 시스템 점검 안내,"안녕하세요, 김민준님.

멜론의 이용약관이 2024년 08월 22일부로 개정됩니다.

주요 변경 사항:
1. 개인정보 보유 기간 변경
2. 제3자 제공 항목 수정

자세한 내용은 홈페이지에서 확인하실 수 있습니다.

감사합니다.",ham,공지/안내
85,[안내] 토스 이용 약관 개정 안내,"안녕하세요.

카카오페이 운영팀입니다.

12월 정기 점검이 아래와 같이 진행됩니다.

- 일시: 2024년 08월 03일
- 점검 내용: 서버 안정화 및 보안 패치
- 영향: 서비스 일시 중단

이용에 불편을 드려 죄송합니다.

카카오페이 운영팀 드림",ham,공지/안내
86,김민준님 200만원 즉시 대출 가능합니다,"안녕하세요, 이벤트나라입니다.

윤도현님의 신용점수를 조회한 결과,
100만원 대출이 가능하십니다.

지금 신청하시면 3.6% 특별금리 적용!

☎ 상담전화: 0732-9907
▶ 신청링크: http://bit.ly/3xK9p2m",spam,대출/금융
87,[빠른대출] 주문하신 상품이 발송되었습니다,"안녕하세요, 강하은님.

주문하신 상품이 발송되었습니다.

- 주문번호: ORD78807596
- 상품명: 홍삼 세트
- 택배사: CJ대한통운
- 운송장번호: 542151187910

배송 조회는 택배사 홈페이지에서 가능합니다.

감사합니다.",ham,배송/쇼핑
88,[베스트주식] 12월 이용요금 청구 안내,"정우진님, 결제가 완료되었습니다.

주문번호: ORD76927800
상품명: 운동화
결제금액: 1000원
결제일시: 2024년 07월 16일

이용해 주셔서 감사합니다.
행운복권 드림",ham,청구서/영수증
89,[코인킹] 개발자 관련 최신 아티클 모음,"안녕하세요, 임나연님!

이번 주 AI/머신러닝 분야에서 주목할 만한 소식을 정리했습니다.

1. 개발자 채용 시장 변화와 전망
2. 개발자 채용 시장 변화와 전망
3. 블록체인 기술 실용화 사례 모음

더 자세한 내용은 홈페이지에서 확인하세요.

행운복권 뉴스레터팀 드림

수신 거부를 원하시면 설정에서 변경하실 수 있습니다.",ham,뉴스레터
