"id","subject","body","label"
"22","지금 비즈니스를 위한 완벽한 시각 솔루션","지금 비즈니스를 위한 완벽한 시각 솔루션 / 회사 이미지를 고민 중이신가요? 시각적 아이덴티티부터 시작하세요. 저희가 뛰어난 로고와 세련된 문구류로 귀사의 긍정적 이미지를 구축해 드립니다.","spam"
"23","최강 스팸 차단기!","최강 스팸 차단기! 받은편지함의 스팸과 음란물을 완전히 제거합니다! 이처럼 효과적이고 쉬운 스팸 필터링 소프트웨어는 없습니다! 수신 거부: 답장 말고 링크를 브라우저에 복사 - infodele.com/nrmm.htm","spam"
"24","수정: 이스트랜스 지명 변경 2001/3/29 적용","수정: 이스트랜스 지명 변경 2001/3/29 적용 / 2001/3/29 오전 9시부로 인도·재인도는 0입니다. 7,300 MMBtu/일 코튼밸리 가스는 HPL로 유입되지 않습니다.","ham"
"25","12월 경품 행사 - MS 머니 2004","12월 경품 행사 - MS 머니 2004 / 겨울 소프트웨어 세일! / 윈도우즈 XP 프로 $50 / 어도비 포토샵 7.0 $60 / MS 오피스 XP 프로 $60 / 코렐 드로우 그래픽스 스위트 11","spam"
"26","FW: 2차 수정/HPL 지명 2001년 3월 28일 적용","FW: 2차 수정/HPL 지명 2001년 3월 28일 적용 / 대런, KCS가 집하 지명을 6,500→5,700으로 낮추고 텍사코 운송을 미터 #9658에서 동량 늘리려 합니다. 오늘부터 적용 가능한가요? - 밥","ham"
"27","에스텔라 소원을 빌어보세요","에스텔라 소원을 빌어보세요 / 최대 온라인 약국의 의약품 제조사입니다. 중간 유통 없이 직접 판매합니다. 비아그라·시알리스·자낙스·바이코딘 등을 대형 제약사보다 훨씬 저렴하게. 전 세계 신중 포장 배송.","spam"
"28","힐코프 올드 오션 물량","힐코프 올드 오션 물량 / 게리 행크스에 따르면 어쨌든 밸리 라인에 가스를 올려두고 싶다고 합니다. --- 2000/11/20 메리 조 존슨 전달 ---","ham"
"29","엔론 여름 인턴십 가능성","엔론 여름 인턴십 가능성 / 에인슬리, 귀하의 이력서가 뱅스 카민스키와 엔론 리서치 그룹에 전달됐습니다. 여름 인턴십 가능성 논의를 원합니다. 관심 있으시면 알려주세요.","ham"
"30","업데이트 - SAP/유니파이 - 주요 미결 사항 및 늦은 요구 사항","업데이트 - SAP/유니파이 - 전체 일정에 영향을 미치는 주요 미결 사항 및 늦은 요구 사항 / 첨부 스프레드시트는 화요일 회의 후 파란색 조치 항목이 업데이트된 버전입니다.","ham"
"31","필요한 소프트웨어 있으신가요? 저희가 있습니다!","필요한 소프트웨어 있으신가요? 안녕하세요. 정품 OEM 소프트웨어 최대 80% 할인! 오늘의 베스트: 윈도우즈 XP 프로 + 오피스 2003 프로 + 어도비 아크로뱃 6.0 + 포토샵 CS + 일러스트레이터 10 + 노턴 시스템웍스","spam"
"32","의약품이 필요하신가요? 저희에게 있습니다","의약품이 필요하신가요? 저희에게 있습니다 / 모든 처방약이 한 곳에! 원하는 것을 말씀해 주세요. 저희가 다 있습니다!","spam"
"33","이런 약 - 엄청난 가치!","이런 약 - 엄청난 가치! / 인도 FDA 승인 공장의 의약품. 약값 최대 85% 절약. 지금 확인하세요.","spam"
"34","RE[4]: 그의 약에 관한 질문","RE[4]: 그의 약에 관한 질문 / 저희 약국은 100% 천연 성분의 남성 강화제를 판매합니다. 부작용 없음. 전 세계 배송. 빠른 효과 보장.","spam"
"35","검토자들","검토자들 / 참고로. 검토자 수에 놀라지 마세요! --- 2000년 5월 18일 브렌다 F. 헤로드 전달 ---","ham"
"36","실수로 받으셨나요 - 투시오넥스 암비엔 자낙스 비아그라","실수로 받으셨나요 / $65부터: 자낙스, 발리움, 시알리스, 비아그라, 암비엔 & 모든 인기 약품 / 긴 설문 없음, 결제하면 오늘 바로 발송. 전 세계 배송.","spam"
"37","안녕! 돌아오기 힘들었지, 그렇지! 제이크한테 선물 사려고","안녕! 돌아오기 힘들었지? 제이크한테 아기 물티슈 워머를 사서 보내려 했는데 월마트에 없더라고. 다른 거 사야 할 것 같아. 유모차 바 장난감 있어? 제이크는 잘 있어? 연락해줘.","ham"
"38","최저가 보장","최저가 보장 / 친애하는 구독자님 / 모든 주문 무료 처방 / 최저가 / 최고 고객 서비스 / 가장 빠른 배송 / 숨겨진 수수료 없음 / 사전 병원 방문 불필요!! [URL]","spam"
"39","전화 서비스 2968","전화 서비스 2968 / 장거리 전화 요금이 너무 비싸신가요? 저렴하고 정직한 대안을 찾고 계신가요? 월 $9.95부터 광섬유 장거리 서비스 제공!","spam"
"40","라이브링크 접근","라이브링크 접근 / 2001/04/11 스틴슨 깁너 전달 / 엔론 기술팀: 2001/01/16 모예즈 랄라니로부터","ham"
"41","시작일: 02/01/02; 전시간전 시간: 1;","시작일: 02/01/02; 전시간전 시간: 1; 보조 일정 없음. 이상 없음. 로그: iso final schedules 2002010201.txt / !!! 일반 SQL 오류","ham"
"42","더 강하고 단단한 발기를 경험하세요","더 강하고 단단한 발기를 경험하세요 / 페니스 성장 익스트림 / [URL]","spam"
"43","@ect.enron.com 이메일 알림!","@ect.enron.com 이메일 알림! / @enron.com으로 통합합니다. 다음 발신자들이 daren.j.farmer@enron.com으로 향후 메일을 보내도록 안내받았습니다.","ham"
"44","해리엇 어떻게 나한테 이럴 수 있어요?","해리엇 어떻게 나한테 이럴 수 있어요? / 10인치 목표를 달성하세요! 그녀가 더 사랑하게 만드세요...","spam"
"45","10월 16일 실시간 거래","10월 16일 실시간 거래 / 데스크 단기 북서부·캘리포니아·남서부·서부 BOM 장기 남서부 / 유동 날짜 2001/10/16","ham"
"46","70편 이상 성인 영화 다운로드","70편 이상 성인 영화 다운로드 / 포르노스타 사진과 동영상. 수천 장의 새 사진과 클립 포함. 지금 바로 보세요! [URL]","spam"
"47","어도비 XP 프로 오피스 2003","어도비, XP 프로, 오피스 2003 / 1,472개 소프트웨어 A-Z 즉시 다운로드! 필요한 소프트웨어를 저렴하게 이용하세요.","spam"
"48","전달: 모든 것 공급 - 비아그라 발리움 자낙스 바이코딘","전달: 모든 것 공급 / 번거로운 병원 방문 없이 온라인 의료 상담으로 필요한 약을 처방받으세요. 최고 품질 의약품. 전 세계 배송.","spam"
"49","머리 이것 보고 배워봐","머리 이것 보고 배워봐 / 발라라. 넣어라. 느낌을 안아라.","spam"
"50","맞춤 디자인 작업","맞춤 디자인 작업 / 기업 이미지는 회사에 대해 많은 것을 말해줍니다. 현대의 빠른 흐름 속에서 몇 초 만에 기억되거나 잊힐 수 있습니다. 지금 바로 로고·문구류·웹사이트를 제작하세요!","spam"
"51","TV 요금 정말 내고 싶으세요?","TV 요금 정말 내고 싶으세요? 안녕하세요, PPV 스포츠, 영화, 성인 채널, 주문형 서비스 등을 무료로 받으세요! 2005년 케이블 필터를 저렴하게 제공합니다. 케이블 요금을 얼마나 절약할 수 있을지 상상해보세요! 저희 페이지 방문: [URL]","spam"
"52","RE: 이메일 주소 변경","RE: 이메일 주소 변경 / 메시지 감사합니다. 계정이 업데이트되었습니다. www.cera.com에서 개인 계정 변경을 원하시면 [URL]로 방문하세요. / CERA 웹마스터","ham"
"53","첫 데이트에서 자는 비결!","첫 데이트에서 자는 비결! / 오늘 밤 나가서 어떤 미녀에게든 접근할 수 있습니다! [URL]","spam"
"54","RE: 부도율","RE: 부도율 / 마크, 좋은 지적입니다. 무디스 1999년 6월 연구에서 기업 파산의 부채 회수율 그래프를 보면 파산 해결 연도별 기업 수준 회수율을 확인할 수 있습니다.","ham"
"55","사랑의 밤을 위한 준비는 15분이면 충분합니다","사랑의 밤을 위한 준비는 15분이면 충분합니다 / 제조사 직공급 일반의약품 ED 치료제.","spam"
"56","아직 놓아주기가 힘드네요...","아직 놓아주기가 힘드네요... / 오전 9시 그레그, 저, 루이스가 백오피스 인력 논의. 오전 10시 추가 인력 논의. 이후 다른 사람들에게 일자리를 제안할지 결정하기 위해 미팅 필요.","ham"
"57","사진들","사진들 / 그는 섰고, 가스를 탔다. 항해하라, 여섯이 떠났다. 나타내고 변하라. 세상이 다시 직접 나타난다. -- 전화:","spam"
"58","우리 회의 후 몇 가지 생각들","우리 회의 후 몇 가지 생각들 / 대런, 어제 점심 즐거웠습니다. 좋은 시작을 했다고 생각합니다. 귀하는 높은 기준을 갖고 있으며 모든 상황에서 최선의 결과에 헌신하십니다.","ham"
"59","여기서 저렴하게 온라인 처방받기","여기서 저렴하게 온라인 처방받기 / 사전 처방 없이 처방약이 필요하신가요? 의사 예약 전혀 불필요! 브랜드 및 일반의약품 최저가!","spam"
"60","오늘 다시 제자리로 돌아오세요!","오늘 다시 제자리로 돌아오세요! / 저희 가격 비교표로 신뢰할 수 있는 할인 온라인 공급업체의 거래를 비교해보세요.","spam"
"61","저녁 식사 후 뭐 하실 건가요?","저녁 식사 후 뭐 하실 건가요? / 이미지가 보이지 않으면 여기서 보세요 / DVD, VCD, CD / 분기점(스페셜 에디션) / 감각의 세계 / 중국 고전 소설 DVD - 삼국지 1편 2편","spam"
"62","시작일: 01/12/30; 전시간전 시간: 9;","시작일: 01/12/30; 전시간전 시간: 9; 보조 일정 없음. 이상 없음. 로그: iso final schedules 2001123009.txt ### 선호 일정 없음.","ham"
"63","테나스카 2/01","테나스카 2/01 / 2001년 2월 브라조스 판매 수익을 테나스카 IV로 전달해야 합니다. 딜 529856에 구매 수요 수수료 $1,143,484.53을 입력하려 합니다. 이미 2001년 2월 수수료 $29,851.64가 있습니다.","ham"
"64","RE: 귀하의 일자리가 위태롭습니다","RE: 귀하의 일자리가 위태롭습니다 / 평생의 업적에 대한 대학 학위 취득! 고등 교육의 이상을 실현한 분들을 위한 학위 수여 가능!","spam"
"65","RE: 귀하가 필요한 것을 알고 있습니다","RE: 귀하가 필요한 것을 알고 있습니다 / 안녕히 가세요","spam"
"66","RE: 유럽 터빈","RE: 유럽 터빈 / 물론입니다. 우선 두란과 캘저에게 먼저 이야기해도 될까요? 자넷과 제가 이전에 제안한 내용과 동일선상에 있는지 확인하고 싶습니다. 내일까지 준비하겠습니다. - 벤","ham"
"67","여기서 OEM 소프트웨어 75% 할인!","여기서 OEM 소프트웨어 75% 할인! / 저렴한 소프트웨어를 찾고 계신가요! 저희 사이트에서: 어도비 포토샵 CS 8.0 $40 / 오토데스크 빌딩 시스템 2004 $40","spam"
"68","SOX 파이낸싱 업데이트","SOX 파이낸싱 업데이트 / SO2 배출 크레딧 재고 거래가 어제 11월 6일부로 바클리스 은행과 12개월 연장되었습니다. 바클리스는 $1억 7천만 시설을 마련했으며 어제 기준 $1억 5,800만이 사용되었습니다.","ham"
"69","RE: AEP-HPL 정기 회의","RE: AEP-HPL 정기 회의 / 브라이언, 이것은 기존 회의의 대체가 아닙니다. 에너지 운영을 위한 실무·의사결정·해결 회의로 계획했습니다. 상호 의존적인 다양한 문제들을 해결하는 팀이 있습니다.","ham"
"70","축하합니다 zzzz 8969!!!","축하합니다 zzzz 8969!!! / 당첨되셨습니다! / 친애하는 여행자 분께 / 축하드립니다 / 당신은 행운의 당첨자일 수 있습니다! / 플로리다 올랜도 6박 7일 숙박 / 왕복 항공권 2매 포함","spam"
"71","현재 및 근미래 가스/전력 시장 종합","현재 및 근미래 가스/전력 시장 종합 / 모든 내용이 여기 있습니다. 의견 환영합니다. - jhherbert / 2000년 6월.pdf 첨부","ham"
"72","의약품 최저가로 구입하세요","의약품 최저가로 구입하세요 / 일반의약품 할인. 70% 이상 절약 / 오늘의 특가: 비아그라 소매가 $15, 저희 가격 $3!!! / 프로작 소매가 $6, 저희 가격 $1.50!! / 개인 온라인 주문 / 전 세계 배송 / 처방전 불필요!!","spam"
"73","100% 천연 비아그라, 복용하고 강해지세요!","100% 천연 비아그라, 복용하고 강해지세요! / 20분 만에 강하게 / 자세한 정보는 여기서","spam"
"74","페이팔 계정 인증","페이팔 계정 인증 / 계정 접근 제한 알림 / 보안 조치의 일환으로 페이팔 시스템 활동을 정기적으로 검토합니다. 귀하의 계정에서 비정상적인 활동이 감지되어 추가 정보 확인 전까지 접근이 제한되었습니다.","spam"
"75","인기 소프트웨어 초저가 - swain","인기 소프트웨어 초저가 - swain / 저렴하고 고품질 소프트웨어를 찾고 계신가요? / 윈도우즈 XP 프로페셔널 2002 $50 / 어도비 포토샵 7.0 $60 / MS 오피스 XP 프로 2002","spam"
"76","전 직원 잉여 가구 경매","전 직원 잉여 가구 경매 / 낙찰! / 엔론 기업 행정 서비스 그룹이 6월 24일 토요일 오전 8시~10시에 3405 네비게이터 드라이브 엔론 창고에서 잉여 가구 무성 경매를 개최합니다.","ham"
"77","로고에서 웹사이트까지 그래픽 디자인","로고에서 웹사이트까지 그래픽 디자인 / 기업 이미지는 회사에 대해 많은 것을 말해줍니다. 현대의 빠른 흐름에서 몇 초 만에 기억되거나 잊힐 수 있습니다. 지금 바로 로고, 문구류, 웹사이트를 제작하세요!","spam"
"78","석유화학 데스크","석유화학 데스크 / 바산트, 우리가 도움을 줘야 할 것 같습니다. 케이트가 이 프로젝트에 도움을 줄 수 있을까요? - 빈스 / 2001/04/23 빈스 J. 카민스키 전달","ham"
"79","업데이트된 목록","업데이트된 목록 / 발레로 거래가 추가되었습니다. 이 목록을 필요한 팀원 모두에게 전달해 주세요. - 줄리","ham"
"80","라울에게","라울에게 / 친애하는 라울, 에밀리아노 사파타 장군 126주년을 기념하는 제2회 국제 심포지엄 초청장을 첨부 파일로 보내드립니다. 8월에 있을 관련 행사들도 포함되어 있습니다.","spam"
"81","오늘 밤 - 축구","오늘 밤 - 축구 / 오늘 밤 7시 축구 경기와 불꽃놀이 티켓이 있습니다! 관심 있으시면 알려주세요. - 몰리 구스타프슨 내선 3817","ham"
"82","노리치","노리치 / 슈퍼비아그라 - 시알리스 / 한 번 복용으로 주말 내내 지속됩니다. 약에 맞춰 시간 조절할 필요 없습니다. 원하는 순간을 선택하세요. 시알리스는 약 20분 만에 효과를 발휘하며 2-3일 지속됩니다. 부작용 없음. 최저가! 지금 구입!","spam"
"83","RE: 도어스텝 회의","RE: 도어스텝 회의 / 마르셀로가 일정을 확보하기 위해 적극적으로 진행 중이므로 진행 중인 작업으로 간주해 주세요. 샐리, 지난 금요일에 SAP 지연과 AS400 우선순위 문제를 언급했습니다.","ham"
"84","저렴한 롤렉스 시계 원하세요?","저렴한 롤렉스 시계 원하세요?","spam"
"85","수정된 지명 - 텍슬란 오일","수정된 지명 - 텍슬란 오일 / 대런, 텍슬란이 7월 미터 #6788에서 지명을 166/일에서 365/일로 수정했습니다. 조정할까요? - 밥","ham"
"86","여기서 구할 수 있습니다","여기서 구할 수 있습니다 / 성인 DVD 5편에 단 $1.00 + 100% 무료 배송 보장!!! / 포르노 DVD 5편 선택 / 1. 선택 2. 빠르고 무료의 신중한 배송 3. 새 DVD 즐기기","spam"
"87","소마 - 지금만 리앤에게","소마 - 지금만 리앤에게 / 비아그라 및 기타 의약품 여름 세일. 이보다 저렴한 곳 없습니다! / 발리움 180정 $370 / 자낙스 180정 $316 / 암비엔 180정 $388 / 소마 160정 $145 / 비아그라 100정 $209.99 / 시알리스 90정 $324","spam"
"88","임프레사리오 신발 6개쯤","임프레사리오 신발 6개쯤 / 이메일 로딩 중...! / 여기서 의약품을 구입하세요.","spam"
"89","휴스턴 및 오마하 시설 관리 재편","휴스턴 및 오마하 시설 관리 재편 / 엔론 빌딩, 휴스턴 임차 사무소, 오마하 두 퍼시픽 플레이스의 일상 운영 책임이 연말까지 법인에서 엔론 에너지 서비스(EES)로 이관될 예정입니다.","ham"
"90","테나스카 IV 운송 10/00","테나스카 IV 운송 10/00 / TXU 론스타의 테나스카 IV 10/00 운송을 검토했습니다. 대부분 가격 차이가 있으며, 한 건은 며칠 추가가 필요합니다. 인보이스 사본이 필요하시면 알려주세요.","ham"
"91","3D 탄성파 데이터 및 오일 거래","3D 탄성파 데이터 및 오일 거래 / 고객(리치 라이하르트)에게 전달할 탄성파 데이터의 재무적 영향 연구 평가 요약이 첨부되어 있습니다. 결론은 부정적입니다. - 밥","ham"
"92","엔론 리서치 그룹 전화 인터뷰","엔론 리서치 그룹 전화 인터뷰 / 리처드 씨, 귀하의 이력서가 빈스 카민스키와 리서치 그룹에 전달되었으며 편하신 시간에 전화 인터뷰를 원합니다. 가능한 날짜와 시간을 알려주시면 조율하겠습니다.","ham"
"93","RE: 경고 - CPUC 투표 또 연기!!!","RE: 경고 - CPUC 투표 또 연기!!! / 또한 아직 확인 중이지만, 횡재이익세 법안이 의회를 통과하지 못할 것으로 보입니다. 확인되는 대로 보고하겠습니다. - 제프","ham"
"94","최고 품질 처방약","최고 품질 처방약 / 지체 없이 필요한 약을 찾아보세요! 다양한 알약 구비! 모든 필요를 한 곳에서!","spam"
"95","배달 불가 메일 발신자에게 반송","배달 불가 메일 발신자에게 반송 / vc8.point.ne.jp의 스캔메일 프로그램입니다. 아래 메시지가 하나 이상의 주소로 배달되지 못했습니다. 추가 도움이 필요하시면 메일을 보내주세요.","spam"
"96","무제한 소프트웨어 - 베라 광고","무제한 소프트웨어 - 베라 광고 / 안녕하세요 / 디지털 혁명을 즐기세요. 온라인 엔터테인먼트 슈퍼스토어 - 온라인 엔터테인먼트의 미래를 알립니다. 3단계로 원하는 것을 다운로드하세요!","spam"
"97","FW: 내일 코펠 현금","FW: 내일 코펠 현금 / 블랙베리 무선 핸드헬드에서 전송 / 원본: 슈베르트너, 브라이언 → 가르시아, 폴","ham"
"98","4월 1일 파티!","4월 1일 파티! / 엔론 연구원, 준연구원(배우자), 유사연구원(아이들)을 위한 파티입니다. 가족과 함께 오실 수 있기를 바랍니다. 계획을 위해 빨리 답장해 주세요. - 크리슈나","ham"
"99","RE: 오래된 계약 이벤트 상태 정리","RE: 오래된 계약 이벤트 상태 정리 / 참고로 - 모두 어떻게 생각하세요? / 1999/12/20 브렌다 F. 헤로드 전달 / 1999/12/17 데이브 놈멘슨으로부터","ham"
"100","RE: AEP 이자 지급 대 코스트라인 소송 비용","RE: AEP 이자 지급 대 코스트라인 소송 비용 / 앤디 에디슨 - 소송 그룹 담당입니다. / 원본: 키친, 루이스 / 2001/04/25 수 오전 8:32 / 받는 사람: 레드먼드, 브라이언","ham"
"101","영화 및 소프트웨어 광고","영화 및 소프트웨어 무료 다운로드 / [URL]","spam"
"102","RE: 토니 해밀턴","RE: 토니 해밀턴 / 토니 해밀턴은 휴스턴 사무소의 마이크 로버츠에게 보고합니다. 빈스 카민스키가 질문에 답변해 드릴 수 있습니다. 토니의 런던 출근 시작일은 4월 9일입니다. - 케빈 무어","ham"
"103","당신은 당첨자입니다 - 축하합니다!","당신은 당첨자입니다 - 축하합니다! / 복권 코디네이터 더글러스 랜달 씨로부터 / 스마트볼 복권, 영국 / 친애하는 당첨자, 이번 분기 당첨자로 선정되셨습니다. 이메일 주소가 당첨되었습니다.","spam"
"104","벤 장의 인터뷰 일정","벤 장의 인터뷰 일정 / 위 인물의 인터뷰 패킷이 첨부되어 있습니다. 인터뷰는 2000년 8월 17일 목요일입니다. 세 가지 서류를 모두 출력해 주세요. 질문이나 일정 충돌이 있으면 알려주세요.","ham"
"105","도매 전력 격주 업데이트","도매 전력 격주 업데이트 / 11/09/01 기간 종료. 내용 및 형식 변경 사항에 유의해 주세요. 업데이트된 조직도도 첨부되어 있습니다. 논의하고 싶으시면 말씀해 주세요. - 스티브","ham"
"106","바이코딘 65% 할인","바이코딘 65% 할인 - 전달 / 비코딘 할인 행사","spam"
"107","가정주부와 어울려보세요","가정주부와 어울려보세요 / 외로운 가정주부를 사귀고 싶었나요? 지금이 기회입니다. 수천 명의 외로운 가정주부들이 기다리고 있습니다. [URL]","spam"
"108","FW: 프리하트","FW: 프리하트 / 금요일에 논의한 대로 프리하트의 계약이 6개월에서 12개월로 전환되어야 합니다. 조건: 기본급 동일, 선불금 동일, $55 현금/$55 주식. - 크리스","ham"
"109","AEP-HPL 전환 목록 업데이트","AEP-HPL 전환 목록 업데이트 / 샐리 - 밥의 이전 메모에 첨부된 것 대신 이 최신 목록을 첨부로 확인해 주세요. 감사합니다!","ham"
"110","당첨 공지!!!","당첨 공지!!! / 행운의 당첨자 분께 / 저는 귀하 사례에 배정된 수탁 대리인 더글러스 랜달입니다. 이번 분기 자바 기반 추첨에서 귀하의 이메일이 선정되었습니다. 축하드립니다!","spam"
"111","RE: 2001 FMA 유럽 컨퍼런스","RE: 2001 FMA 유럽 컨퍼런스 / 괜찮습니다. 여러분께 연락받기 전까지는 변경하고 싶지 않았습니다. 또 봬요! - 존 / 스틴슨은 저녁 식사에 참석할 수 있습니다. 과중한 업무로 논문은 빠질 예정입니다.","ham"
"112","RE: 통계 모델링 지원","RE: 통계 모델링 지원 / 랜달, 리서치 그룹에서 EBS를 지원하는 사람은 마틴 린입니다. 연락을 드리도록 요청하겠으며 마틴과의 미팅에도 기꺼이 참여하겠습니다. - 빈스","ham"
"113","최고의 저렴한 온라인 약국 검색","최고의 저렴한 온라인 약국 검색 / 비아그라, 시알리스, 프로페시아 등 브랜드 제품보다 80% 절약하세요.","spam"
"114","가정용 컴퓨터 세일 + 윈도우즈 2000 어드밴스드 서버","가정용 컴퓨터 세일 + 윈도우즈 2000 어드밴스드 서버 / 저렴한 가격의 인기 소프트웨어: 윈도우즈 XP 프로 + 오피스 XP 프로 단 $60부터 / 재고 한정, 12월 29일까지만!","spam"
"115","친애하는 빈첸티에게","친애하는 빈첸티에게 / 4월 29일부터 5월 7일까지 미국에 있을 예정입니다. 관광 목적으로 친구들을 만나러 갑니다. 아이다호 스프링스를 주요 거점으로 삼을 계획입니다.","ham"
"116","합법적인 수입 증대 방법 - 보안 코드: FG-6446","합법적인 수입 증대 방법 - 보안 코드: FG-6446 / 친애하는 친구, 더 많은 돈, 더 많은 안전, 더 많은 자유를 원하신다면 이 편지가 인생에서 가장 중요한 편지가 될 것입니다.","spam"
"117","연락처 정보","연락처 정보 / 다음 주에 자리를 비울 예정입니다. 곡물 보고서에 관한 문제나 질문이 있으면 알려주세요. 휴대폰 713-303-5973으로 연락 가능합니다. 좋은 연휴 보내세요! - 넬슨","ham"
"118","환상적인 투자자 정보","환상적인 투자자 정보 / 메종네트 인터내셔널 엔터프라이즈(MAEN) / 다양한 사업군을 보유한 지주회사 / 현재가: $0.09 / 저평가된 보석 같은 기업입니까?","spam"
"119","멕시코 약국","멕시코 약국 / 저렴한 처방약을 원하시나요? [URL]","spam"
